source_name,url,category,collection_date,notes
ShanghaiTech English Homepage,https://www.shanghaitech.edu.cn/en/,school,2026-06-10,Official university homepage; contains news events facts and academic units
ShanghaiTech About,https://www.shanghaitech.edu.cn/en/997/main.htm,school,2026-06-10,Official about page; university mission schools institutes campus and facts
ShanghaiTech Faculty,https://www.shanghaitech.edu.cn/en/1000/main.htm,faculty,2026-06-10,Official university faculty entry page
ShanghaiTech Events,https://www.shanghaitech.edu.cn/en/1005/list.htm,events,2026-06-10,Official university events listing
SIST English Homepage,https://sist.shanghaitech.edu.cn/sist_en/,sist,2026-06-10,Official SIST homepage; contains navigation news activities and statistics
SIST Vision and Mission,https://sist.shanghaitech.edu.cn/sist_en/2710/list.htm,sist,2026-06-10,Official SIST vision and mission page
SIST About,https://sist.shanghaitech.edu.cn/sist_en/2724/list.htm,sist,2026-06-10,Official SIST introduction and main research areas
SIST Research Centers,https://sist.shanghaitech.edu.cn/sist_en/2848/list.htm,research,2026-06-10,Official list of SIST research centers
SIST Professors,https://sist.shanghaitech.edu.cn/sist_en/szdwx/list.htm?col=0,faculty,2026-06-10,Official SIST professor list page
SIST Curriculum,https://sist.shanghaitech.edu.cn/sist_en/3905/list.htm,courses,2026-06-10,Official SIST curriculum page with course-list links
SIST CS Undergraduate Program,https://sist.shanghaitech.edu.cn/sist_en/CSUndergraduateProgram/list.htm,program,2026-06-10,Official CS undergraduate program page
SIST EE Undergraduate Program,https://sist.shanghaitech.edu.cn/sist_en/EEUndergraduateProgram/list.htm,program,2026-06-10,Official EE undergraduate program page
SIST CS Master Program,https://sist.shanghaitech.edu.cn/sist_en/MasterProgram/list.htm,program,2026-06-10,Official CS master program page
SIST EE Master Program,https://sist.shanghaitech.edu.cn/sist_en/EEMasterProgram/list.htm,program,2026-06-10,Official EE master program page
SIST CS PhD Program,https://sist.shanghaitech.edu.cn/sist_en/DoctorialwCSwProgram/list.htm,program,2026-06-10,Official CS PhD program page
SIST EE PhD Program,https://sist.shanghaitech.edu.cn/sist_en/EEPhwDProgram/list.htm,program,2026-06-10,Official EE PhD program page
SIST Events,https://sist.shanghaitech.edu.cn/sist_en/Academic_Activities/list.htm,events,2026-06-10,Official SIST academic activities/events listing
SIST News,https://sist.shanghaitech.edu.cn/sist_en/News/list.htm,news,2026-06-10,Official SIST news listing
VDI Center,https://vic.shanghaitech.edu.cn/,research,2026-06-10,Official Visual and Data Intelligence Center website linked by SIST
NICE Center,https://nice.sist.shanghaitech.edu.cn/,research,2026-06-10,Official Network Intelligence Center website linked by SIST
PMICC Center,https://pmicc.sist.shanghaitech.edu.cn/,research,2026-06-10,Official Post-Moore Microelectronics Integrated Circuit Center website linked by SIST
CiPES Center,https://cipes.sist.shanghaitech.edu.cn/,research,2026-06-10,Official Center for Intelligent Power and Energy Systems website linked by SIST
STAR Center,https://star-center.shanghaitech.edu.cn/,research,2026-06-10,Official ShanghaiTech Automation and Robotics Center website linked by SIST
SSC Center,https://ssc.sist.shanghaitech.edu.cn/,research,2026-06-10,Official Systems and Security Center website linked by SIST
